store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,price,special_price,weight,msrp,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"2,3,32,33",911,0,"Natural 1/4""X12"" Wood Dowel",,,,,,natural-1-4-x12-wood-dowel,natural-1-4-x12-wood-dowel.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,399,,1,,Enabled,No,"Catalog, Search",None,"Natural 1/4""X12"" Wood Dowel","Natural 1/4""X12"" Wood Dowel",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"Natural 1/4""X12"" Wood Dowel",0,simple,,
admin,base,Default,simple,"2,3,32,33",912,0,Face Paint Stackable Crayons,,,,,,natural-1-4-x12-wood-dowel,natural-1-4-x12-wood-dowel.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,349,,1,,Enabled,No,"Catalog, Search",None,Face Paint Stackable Crayons,Face Paint Stackable Crayons,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Face Paint Stackable Crayons,0,simple,,
admin,base,Default,simple,"2,3,32,33",913,0,Quilling Paper 1/8,,,,,,natural-1-4-x12-wood-dowel,natural-1-4-x12-wood-dowel.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,349,,1,,Enabled,No,"Catalog, Search",None,Quilling Paper 1/8,Quilling Paper 1/8,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Quilling Paper 1/8,0,simple,,
admin,base,Default,simple,"2,3,32,33",914,0,Pony Bead Lacing Connectors,,,,,,natural-1-4-x12-wood-dowel,natural-1-4-x12-wood-dowel.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,349,,1,,Enabled,No,"Catalog, Search",None,Pony Bead Lacing Connectors,Pony Bead Lacing Connectors,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Pony Bead Lacing Connectors,0,simple,,
admin,base,Default,simple,"2,3,32,33",915,0,Natural Clothespins,,,,,,natural-1-4-x12-wood-dowel,natural-1-4-x12-wood-dowel.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,349,,1,,Enabled,No,"Catalog, Search",None,Natural Clothespins,Natural Clothespins,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Natural Clothespins,0,simple,,
admin,base,Default,simple,"2,3,32,33",916,0,Colored Clothespins,,,,,,natural-1-4-x12-wood-dowel,natural-1-4-x12-wood-dowel.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,399,,1,,Enabled,No,"Catalog, Search",None,Colored Clothespins,Colored Clothespins,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Colored Clothespins,0,simple,,
admin,base,Default,simple,"2,3,32,33",917,0,Natural Mini Clothespins,,,,,,natural-1-4-x12-wood-dowel,natural-1-4-x12-wood-dowel.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,399,,1,,Enabled,No,"Catalog, Search",None,Natural Mini Clothespins,Natural Mini Clothespins,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Natural Mini Clothespins,0,simple,,
admin,base,Default,simple,"2,3,32,34",921,0,Mouth Wash Wintergreen,,,,,,mouth-wash-wintergreen,mouth-wash-wintergreen.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,17,,1,,Enabled,No,"Catalog, Search",None,Mouth Wash Wintergreen,Mouth Wash Wintergreen,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Mouth Wash Wintergreen,0,simple,,
admin,base,Default,simple,"2,3,32,34",922,0,Mouth Wash Ice Cool,,,,,,mouth-wash-wintergreen,mouth-wash-wintergreen.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,17,,1,,Enabled,No,"Catalog, Search",None,Mouth Wash Ice Cool,Mouth Wash Ice Cool,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Mouth Wash Ice Cool,0,simple,,
admin,base,Default,simple,"2,3,32,34",923,0,Four Sided Nail Buffer,,,,,,mouth-wash-wintergreen,mouth-wash-wintergreen.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,20,,1,,Enabled,No,"Catalog, Search",None,Four Sided Nail Buffer,Four Sided Nail Buffer,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Four Sided Nail Buffer,0,simple,,
