store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,price,special_price,weight,msrp,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"3,158,172,174,341,340,000",YYPT-POWPD710,0,"POWER ACOUSTIK PD-710 7"" SINGLE-DIN IN-DASH TFT/LCD TOUCHSCREEN",,,,,,power-acoustik-pd-710-7-single-din-in-dash-tft-lcd-touchscreen,power-acoustik-pd-710-7-single-din-in-dash-tft-lcd-touchscreen.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,121.49,,1,,Enabled,No,"Catalog, Search",Shipping,"The 7"" Single-DIN In-Dash TFT/LCD Touchscreen DVD Receiver plays your favorite DVD s, MP4, DIVX, and XVID movies, or MP3 audio files from a DVD-R/RW or CD-R/RW discs. It can also read to a 16gb USB and SDHC cards for MP3 audio and MP4 video playback, or view and save photos with the JPG photo viewer.",DVD RECEIVER (WITHOUT BLUETOOTH(R)),,,,,,,,,12,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"POWER ACOUSTIK PD-710 7"" SINGLE-DIN IN-DASH TFT/LCD TOUCHSCREEN",0,simple,,
admin,base,Default,simple,"3,158,172,174,341,340,000,000",YYI1-GB0397,0,Pyle 320-Watt Double-DIN 7'' LCD Touchscreen,,,,,,pyle-320-watt-double-din-7-lcd-touchscreen,pyle-320-watt-double-din-7-lcd-touchscreen.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,214.49,,1,,Enabled,No,"Catalog, Search",Shipping,"7 DOUBLE DIN TFT TOUCH SCREEN Product Details

320 watts (4 x 80W) total power output
Built-In 7""(16:9) TFT color monitor with touchscreen control operation
Double-DIN chassis
Compatible with DVD, VCD, MPEG4, MP3 and CDR/RW
Direct iPod® and iPhone® connection cable
Motorized slide-down front panel
Treble, bass, balance, fader and volume controls
PLL synthesizer tuner with AM/FM-MPX 2 band radio
1440 x 234 pixels resolution
Includes wireless remote control","with DVD Player, Bluetooth® and iPod® Control",,,,,,,,,14,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Pyle 320-Watt Double-DIN 7'' LCD Touchscreen,0,simple,,
admin,base,Default,simple,"3,158,172,174,341,340,000",YYI1-NZ5621,0,7 WIDE SCREEN TFT LCD VIDEO,,,,,,7-wide-screen-tft-lcd-video,7-wide-screen-tft-lcd-video.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,58.99,,1,,Enabled,No,"Catalog, Search",Shipping,"7 WIDE SCREEN TFT LCD VIDEO Product Details

PAL/ NTSC system
Connections: 2 RCA video inputs, 3.5mm AV in and 3.5mm audio out
16:9 aspect ratio
1440 x 234 resolution
7 5/8"" W x 5 1/4"" H x 1"" D
Includes remote control",Pyle 7-Inch Widescreen TFT/LCD Video Monitor with Headrest Shroud,,,,,,,,,11,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,7 WIDE SCREEN TFT LCD VIDEO,0,simple,,
admin,base,Default,simple,"3,158,172,174,341,340,000",B45-1218,0,Boss BV9.2BA Flip-Down DVD Car Stereo,,,,,,boss-bv9-2ba-flip-down-dvd-car-stereo,boss-bv9-2ba-flip-down-dvd-car-stereo.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,109.97,,1,,Enabled,No,"Catalog, Search",Shipping,"Boss BV9.2BA Flip-Down DVD Car Stereo
Keep yourself entertained during long drives with the Boss BV9.2BA Flip-Down DVD Car Stereo. It has a flip-down, 9.2"" TFT monitor display with 1024 x 600 resolution. It is equipped with a built-in DVD Player, wireless remote, SD/MMC slots, and RCA input/output. Standard features include AM/FM/MP3 and CD player. Order the Boss BV9.2BA Flip-Down DVD Car Stereo today!

What It Is And Why You Need It:

Flip-down, 9.2"" TFT monitor display; watch in 1024 x 600 resolution
Built-in DVD player; enjoy watching your favorite DVDs
SD/MMC slots and RCA input/output; various connection options","9.2"" TFT Monitor, 1024 x 600, NTSC, Built-In DVD Player, Wireless Remote, SD/MMC Slots, RCA Input/Output",,,,,,,,,7,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Boss BV9.2BA Flip-Down DVD Car Stereo,0,simple,,
admin,base,Default,simple,"3,158,172,174,341,340,000",YYPT-POWHDVD9GRDK,0,"8.8"" PRELOADED UNIVERSAL HEADREST MONITO",,,,,,8-8-preloaded-universal-headrest-monito,8-8-preloaded-universal-headrest-monito.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,603.99,,1,,Enabled,No,"Catalog, Search",Shipping,"Designed to match dark gray upholstery, the HDVD-9GRDK 8.8"" Preloaded Universal Headrest Widescreen Video Monitor and Twin DVD Combo matches many vehicle interiors. Great to entertain kids and other backseat passengers during road trips, the HDVD-9GRDK features a 8.8"" LCD with a resolution of 480 x 234. Including two headrests and two IR headphones, the HDVD-9GRDK can play DVDs with the built-in DVD player, helping to make long road trips less boring for your kids and less stressful for you.","POWER ACOUSTIK HDVD-9GRDK 8.8"" PRELOADED UNIVERSAL HEADREST MONITORS WITH TWIN DVD PLAYER COMBO, IR and FM TRANSMITTERS and 2 PAIR OF HEADPHONES",,,,,,,,,7,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"8.8"" PRELOADED UNIVERSAL HEADREST MONITO",0,simple,,
admin,base,Default,simple,"3,158,172,174,341,340,000",YYPT-POWNB2,0,200-WATT 3-WAY-MOUNT TWEETERS,,,,,,200-watt-3-way-mount-tweeters,200-watt-3-way-mount-tweeters.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,10.99,,1,,Enabled,No,"Catalog, Search",Shipping,"This pair of NB-2 Tweeters from Power Acoustik(R) feature a niobium rare earth ferroelectric magnet structure for superior reproduction of detailed high-frequency sound. A polypropylene diaphragm decreases distortion, tightening up the sound output even further. Mount these on or flush to a surface, or at an angle to achieve the best positioning of 200 watts of max power.",POWER ACOUSTIK NB-2 200-WATT 3-WAY-MOUNT TWEETERS,,,,,,,,,12,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,200-WATT 3-WAY-MOUNT TWEETERS,0,simple,,
admin,base,Default,simple,"3,158,172,174,341,340,000",YYI1-T55342,0,Boss Flush Mount Tweeter,,,,,,boss-flush-mount-tweeter,boss-flush-mount-tweeter.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,13,,1,,Enabled,No,"Catalog, Search",Shipping,"BOSS FLUSH MOUNT TWEETER Product Details

Power handling peak, 200-watt
Magnet structure, strontium; impedance 4-ohm
Frequency response 5-20kHz; SPL 1-watt/1-meter 94dB
Surface/flush mounting, 2 mounting kits",Boss TW-12 Flush Mount Tweeter With Housing,,,,,,,,,12,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Boss Flush Mount Tweeter,0,simple,,
admin,base,Default,simple,"3,341,342,344",W00-1013,0,Wagan 900Amp Battery Jump Starter,,,,,,wagan-900amp-battery-jump-starter,wagan-900amp-battery-jump-starter.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,87.49,,1,,Enabled,No,"Catalog, Search",Shipping,"Wagan 900Amp Battery Jump Starter
Jump-start your vehicle using the Wagan 900Amp Battery Jump Starter. This jump starter comes with advanced Voltage technologies to power up appliances in any situation. Its high power motor air compressor is designed with high-pressure air hose that inflates tires in about 6 minutes. Featuring Work Light it is useful during an extended power outage. The Battery Status Indicator LED shows the status of the power and charge level. Plus, the DC power outlet offers power supply for 12V appliances. Order the Wagan 900Amp Battery Jump Starter soon!

What It Is And Why You Need It:

Air Compressor; inflates tires in about 6 minutes with high-pressure air hose
Work Light; useful during an extended power outage
Battery Status Indicator LED; shows the status of the power and charge level
DC power outlet; offers power supply for 12V appliances","Air Compressor, Work Light, Battery Status Indicator LED, DC Power Outlet",,,,,,,,,14,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Wagan 900Amp Battery Jump Starter,0,simple,,
admin,base,Default,simple,"3,341,342,344",YYPT-DEI479V,0,VIPER 479V RESPONDER(TM) REMOTE,,,,,,viper-479v-responder-tm-remote,viper-479v-responder-tm-remote.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,65.49,,1,,Enabled,No,"Catalog, Search",Shipping,The Viper Responder Remote is a replacement remote for the 791XV or 591XV series SST remote start systems. It features a one-mile range and a large liquid crystal display. Control your engine like you never have before.,.,,,,,,,,,15,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,VIPER 479V RESPONDER(TM) REMOTE,0,simple,,
admin,base,Default,simple,"3,341,342,344",W00-1017,0,Wagan Easy Quick Jumper,,,,,,wagan-easy-quick-jumper,wagan-easy-quick-jumper.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,23.99,,1,,Enabled,No,"Catalog, Search",Shipping,"Wagan Easy Quick Jumper 
Use the Wagan Easy Quick Jumper to jump start the car in just 5–10 minutes. This easy quick jumper works with most 12 volt vehicles. It comes with built-in safety features that ensure no harm to either your car or the jumper. Featuring 3 LED Indicators it provides extra illumination during emergency situations. This smart jumper comes with extra long 18 foot power cord for easy reaching and extension. Plus, this jumper fits in the glove compartment. Grab the Wagan Easy Quick Jumper now!","Starts A Car In 3-5 min, 3 LED Indicators",,,,,,,,,12,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Wagan Easy Quick Jumper,0,simple,,
