sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
1111,,Default,simple,,"Default Category",base,,,,"2015-02-28 07:32:33",,,,,"NETTALK DUO WIFI MCAFEE BUNDLE- 1 MONTH FREE - netTALK DUO WI-FI VoIP Gateway, McAfee 2015 Multi Access, Samsung HM1300 Bluetooth Handsfree Headset, Silicone Smerge Cell Phone Case",,,0,/1/1/1111.jpg,,,,,,,,,"Use config","Use config","NETTALK DUO WIFI MCAFEE BUNDLE- 1 MONTH FREE - netTALK DUO WI-FI VoIP Gateway, McAfee 2015 Multi Access, Samsung HM1300 Bluetooth Handsfree Headset, Silicone Smerge Cell Phone Case",,,"Product Info Column",,59.0000,0,"NETTALK DUO WIFI MCAFEE BUNDLE- 1 MONTH FREE - netTALK DUO WI-FI VoIP Gateway, McAfee 2015 Multi Access, Samsung HM1300 Bluetooth Handsfree Headset, Silicone Smerge Cell Phone Case",/1/1/1111.jpg,,,,,1,0,/1/1/1111.jpg,,"2015-02-28 08:43:20",nettalk-duo-wifi-mcafee-bundle-1-month-free-nettalk-duo-wi-fi-voip-gateway-mcafee-2015-multi-access-samsung-hm1300-bluetooth-handsfree-headset-silicone-smerge-cell-phone-case,nettalk-duo-wifi-mcafee-bundle-1-month-free-nettalk-duo-wi-fi-voip-gateway-mcafee-2015-multi-access-samsung-hm1300-bluetooth-handsfree-headset-silicone-smerge-cell-phone-case.html,4,150.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/1/1/1111.jpg,,1,0
,,,,"Shop All Products","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Shop All Products/Cell Phones & Communications","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Shop All Products/Cell Phones & Communications/Cell Phones","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Shop All Products/Cell Phones & Communications/Cell Phones/Cell Phone Accessories","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,,Default,simple,,"Default Category",base,,,,"2015-02-28 07:46:42",,,,,"Samsung HM1300 Handsfree Headset - Bluetooth, Micro USB Charger, Black - BHM1300NBACST1",,,0,/1/1/1112.jpg,,,,,,,,,"Use config","Use config","Samsung HM1300 Handsfree Headset - Bluetooth, Micro USB Charger, Black - BHM1300NBACST1",,,"Product Info Column",,599.0000,0,"Samsung HM1300 Handsfree Headset - Bluetooth, Micro USB Charger, Black - BHM1300NBACST1",/1/1/1112.jpg,,,,,1,0,/1/1/1112.jpg,,"2015-02-28 08:43:22",samsung-hm1300-handsfree-headset-bluetooth-micro-usb-charger-black-bhm1300nbacst1,samsung-hm1300-handsfree-headset-bluetooth-micro-usb-charger-black-bhm1300nbacst1.html,4,150.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/1/1/1112.jpg,,1,0
,,,,"Shop All Products","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Shop All Products/Cell Phones & Communications","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Shop All Products/Cell Phones & Communications/Cell Phones","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Shop All Products/Cell Phones & Communications/Cell Phones/Cell Phone Accessories","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,,Default,simple,,"Default Category",base,,,,"2015-02-28 07:50:28",,,,,"Samsung HM1900 Handsfree Headset - Bluetooth, Micro USB Charger, Gray - BHM1900NDACST1",,,0,/1/1/1113.jpg,,,,,,,,,"Use config","Use config","Samsung HM1900 Handsfree Headset - Bluetooth, Micro USB Charger, Gray - BHM1900NDACST1",,,"Product Info Column",,9.0000,0,"Samsung HM1900 Handsfree Headset - Bluetooth, Micro USB Charger, Gray - BHM1900NDACST1",/1/1/1113.jpg,,,,,1,0,/1/1/1113.jpg,,"2015-02-28 08:43:24",samsung-hm1900-handsfree-headset-bluetooth-micro-usb-charger-gray-bhm1900ndacst1,samsung-hm1900-handsfree-headset-bluetooth-micro-usb-charger-gray-bhm1900ndacst1.html,4,150.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/1/1/1113.jpg,,1,0
,,,,"Shop All Products","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Shop All Products/Cell Phones & Communications","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Shop All Products/Cell Phones & Communications/Cell Phones","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
